propuesta;estado_inscripcion;fecha_ultimo_examen;anio_ultima_reinscripcion;regular;segundo_anio;rango_promedios;examenes_1er_semestre;avance_ingreso;avance_1er_semestre;avance_carrera
134;Pendiente;;2021.0;N;N;Alto;N;0.5;0.0;25
134;Pendiente;;2021.0;N;N;Bajo;N;0.0;0.0;0.0
134;Pendiente;20/08/2021;2021.0;S;S;Medio;N;0.5;0.0;0.2
134;Pendiente;;2021.0;N;N;Bajo;N;1.0;0.0;0.0
134;Pendiente;;2021.0;S;N;Alto;N;0.5;0.0;75
134;Pendiente;;2021.0;N;N;Bajo;N;0.5;0.3333333333333333;0.0
134;Pendiente;;2021.0;N;N;Medio;N;0.5;0.0;25
134;Aceptado;20/08/2021;2021.0;S;S;Medio;N;0.5;0.0;0.2
134;Aceptado;;2021.0;N;N;Medio;N;0.5;0.0;25
134;Pendiente;;2021.0;N;N;Medio;N;0.5;0.3333333333333333;25
134;Aceptado;;2021.0;S;N;Alto;N;1.0;0.0;0.05
134;Pendiente;;2021.0;N;N;Medio;N;0.5;0.0;25
134;Pendiente;;2021.0;N;N;Alto;N;1.0;0.0;25
134;Pendiente;23/08/2021;2021.0;S;S;Medio;N;1.0;0.0;225
134;Pendiente;;2021.0;S;N;Medio;N;1.0;0.0;0.05
134;Pendiente;;2021.0;N;N;Medio;N;0.5;0.0;25
134;Pendiente;;2021.0;N;N;Bajo;N;0.0;0.6666666666666666;0.0
134;Pendiente;;2021.0;S;N;Medio;N;1.0;0.0;0.05
134;Aceptado;;2021.0;N;N;Medio;N;0.5;0.0;25
134;Aceptado;;2021.0;N;N;Bajo;N;0.5;0.0;0.0
134;Pendiente;;2021.0;S;N;Alto;N;0.0;0.0;0.05
134;Pendiente;18/08/2021;2021.0;S;S;Alto;N;0.0;0.0;175
134;Pendiente;;2021.0;N;N;Alto;N;0.0;0.3333333333333333;25
134;Aceptado;18/08/2021;2021.0;S;S;Alto;N;0.5;0.0;125
