propuesta;estado_inscripcion;fecha_ultimo_examen;anio_ultima_reinscripcion;regular;calidad;segundo_anio;rango_promedios;examenes_1er_semestre;avance_ingreso;avance_1er_semestre;avance_carrera
130;Aceptado;15/12/2020;2021.0;S;A;S;Alto;N;0.0;0.0;0.14285714285714285
130;Pendiente;;;N;P;N;Bajo;N;0.5;0.0;0.0
130;Aceptado;;2021.0;S;A;N;Medio;N;0.5;0.0;0.09523809523809523
130;Aceptado;;2021.0;S;A;S;Medio;N;0.5;0.0;0.42857142857142855
130;Pendiente;;;N;P;N;Bajo;N;0.5;0.0;0.0
130;Pendiente;23/08/2021;2021.0;S;A;S;Medio;N;1.0;0.0;0.14285714285714285
130;Pendiente;;;N;P;N;Alto;N;1.0;0.0;0.023809523809523808
130;Aceptado;;2021.0;S;A;N;Alto;N;0.5;0.0;0.07142857142857142
130;Pendiente;;2021.0;S;A;N;Alto;N;1.0;0.0;0.047619047619047616
130;Pendiente;;;N;P;N;Medio;N;0.5;0.0;0.023809523809523808
134;Pendiente;;;N;P;N;Medio;N;1.0;0.0;0.025
130;Pendiente;;2021.0;S;A;N;Medio;N;0.5;0.0;0.047619047619047616
130;Aceptado;;;N;P;N;Medio;N;1.0;0.0;0.023809523809523808
130;Aceptado;;;N;P;N;Bajo;N;0.5;0.0;0.0
130;Aceptado;20/08/2021;2021.0;S;A;S;Alto;N;1.0;0.3333333333333333;0.23809523809523808
130;Pendiente;;2021.0;S;A;S;Medio;N;1.0;0.0;0.11904761904761904
